"task_view","task_view_descr","package","Date","Title","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","Archs","MD5sum","NeedsCompilation","File","Repository"
"Econometrics","Econometrics","fma","2020-01-14","Data Sets from ""Forecasting: Methods and Applications"" by
Makridakis, Wheelwright & Hyndman (1998)","2.4",NA,"R (>= 2.0.0), forecast (>= 8.1)",NA,NA,"knitr, rmarkdown, tidyverse",NA,"GPL-3",NA,NA,NA,NA,"ba7d2dfabdb64e9bd14e9e6dccbc02b0","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","forecast","2022-01-10","Forecasting Functions for Time Series and Linear Models","8.16",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat, uroot",NA,"GPL-3",NA,NA,NA,NA,"9a5c7765283fbb3c5b9ca33bde24b750","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","frm","2015-02-21","Regression Analysis of Fractional Responses","1.2.2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"5f48c6309fca5b1035ff1eb9111dd188","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","frontier","2020-04-17","Stochastic Frontier Analysis","1.1-8",NA,"R (>= 2.15.0), micEcon (>= 0.6-14), lmtest (>= 0.9-24)","moments (>= 0.11), stats (>= 2.15.0), Formula (>= 0.2-0),
miscTools (>= 0.6-1), plm (>= 1.0-1)",NA,"MCMCpack (>= 1.0-8), fdrtool (>= 1.2.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"a8de9311ad4d337d28c6b875bdb263d9","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","fxregime","2020-05-02","Exchange Rate Regime Analysis","1.0-4",NA,"R (>= 3.0.0), zoo, strucchange","graphics, stats, car, sandwich",NA,"lmtest, foreach",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"af7c5a0bd60b373a10fe29788b3813b1","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gam","2020-07-05","Generalized Additive Models","1.20",NA,"R (>= 3.5.0),stats, splines, foreach",NA,NA,"akima, testthat",NA,"GPL-2",NA,NA,NA,NA,"58112132e444dea7da3239588a3fa5fd","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gamlss","2022-02-07","Generalised Additive Models for Location Scale and Shape","5.4-1",NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"2574cd772717c38cb8a5e032d5925f9f","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","geepack","2022-01-09","Generalized Estimating Equation Package","1.3.3",NA,"R (>= 3.5.0), methods","MASS, broom, magrittr",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"d2630e8b7bcb25511ca0848845179901","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gets","2021-09-02","General-to-Specific (GETS) Modelling and Indicator Saturation
Methods","0.29",NA,"R (>= 3.3.0), zoo, parallel",NA,NA,"lgarch, xtable, Matrix, microbenchmark",NA,"GPL (>= 2)",NA,NA,NA,NA,"b8b1d29567fb6aaf90c39efe5e4cceb3","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","glmx","2015-11-19","Generalized Linear Models Extended","0.1-1",NA,"R (>= 2.14.0)","stats, MASS, Formula, lmtest, sandwich",NA,"AER, gld, numDeriv, pscl",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"7bf5c65e62fe627d0b0bc3654ca14256","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gmm","2021-03-05","Generalized Method of Moments and Generalized Empirical
Likelihood","1.6-6",NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics",NA,"knitr, mvtnorm, car, stabledist, MASS, timeDate, timeSeries",NA,"GPL (>= 2)",NA,NA,NA,NA,"eae74bfa1010907cc7712db99cef2d5f","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gmnl","2020-05-27","Multinomial Logit Models with Random Parameters","1.1-3.2",NA,"R (>= 3.6.0), maxLik, Formula","plotrix, msm, mlogit, truncnorm, stats, graphics, utils",NA,"AER, lmtest, car, memisc, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"3e5ffeec37ad2a4c0a95fe32cba25f8d","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gravity","2022-01-05","Estimation Methods for Gravity Models","1.0",NA,"R(>= 3.4.0)","lmtest, sandwich, glm2, MASS, stats, censReg, survival,
multiwayvcov, tibble, magrittr, dplyr, tidyr, purrr, rlang,
Rdpack, utils",NA,"knitr, rmarkdown, testthat, broom",NA,"Apache License (>= 2)",NA,NA,NA,NA,"cf36f8e873e9555b81ec0c1bdc161499","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","gvc","2022-02-10","Global Value Chains Tools","6.2.1",NA,"R (>= 3.5.0)","decompr, diagonals",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"90aeb40e1933efe50aa392f9f99076fb","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","Hmisc","2021-10-07","Harrell Miscellaneous","4.6-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"0c2f92d29e276a1f179806ef6cc469b9","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ineq","2014-07-21","Measuring Inequality, Concentration, and Poverty","0.2-13",NA,"R (>= 2.10.0)","stats, graphics, grDevices",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"e2561a25905ac60168c18bb4f6c1b253","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ivfixed","2014-03-25","Instrumental fixed effect panel data model","1.0",NA,NA,"Formula",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"8e4236f7b3e5494689c86b38577694ca","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ivpack","2014-10-25","Instrumental Variable Estimation","1.2",NA,"AER, sandwich, lmtest",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"bbc12014193d11ee2994ededc9e834d6","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ivpanel","2015-02-09","Instrumental Panel Data Models","1.0",NA,NA,"Formula",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"221bc6a8fefb63b3c9c3eb3454553c0f","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ivprobit","2018-02-21","Instrumental Variables Probit Model","1.1",NA,NA,"stats, methods, Formula",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"6a0d01c7b044ad884b88814cf690713a","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ivreg","2021-10-15","Instrumental-Variables Regression by '2SLS', '2SM', or '2SMM',
with Diagnostics","0.6-1",NA,"R (>= 3.6.0)","car (>= 3.0-9), Formula, lmtest, MASS, stats",NA,"AER, effects (>= 4.2.0), knitr, insight, parallel, rmarkdown,
sandwich, testthat, modelsummary, ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"61dcea9941454a03e0132528a6ba9ba5","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","LARF","2016-07-26","Local Average Response Functions for Instrumental Variable
Estimation of Treatment Effects","1.4",NA,NA,"Formula",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"25ebf07e8aff64e4fdaae0fa78ba4eba","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","lavaan","2022-01-25","Latent Variable Analysis","0.6-10",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"ff1d4d2375097fc59ab4486a5c451d5e","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","lfe","2021-11-07","Linear Group Fixed Effects","2.8-7.1",NA,"R (>= 2.15.2), Matrix (>= 1.1-2)","Formula, xtable, compiler, utils, methods, sandwich, parallel",NA,"knitr, digest, igraph, plm, cubature (>= 2.0.3), numDeriv,
data.table, alpaca, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"3e88a5b9a7cf9179814c8b236378c297","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","LinRegInteractive","2020-02-08","Interactive Interpretation of Linear Regression Models","0.3-3",NA,"R (>= 3.0.0), rpanel (>= 1.1-4), xtable",NA,NA,"AER, gam, mgcv, nlme",NA,"GPL-2",NA,NA,NA,NA,"e9b1e11458e8d2d3e2eeef9e72b0f19a","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","lme4","2022-02-05","Linear Mixed-Effects Models using 'Eigen' and S4","1.1-28",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble",NA,"GPL (>= 2)",NA,NA,NA,NA,"84e50e00d47ccc2b2eee2cf43c6003e6","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","lmtest","2021-11-07","Testing Linear Regression Models","0.9-39",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"bba1334d162c21f8b626579777b77e4e","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","lpirfs","2021-03-23","Local Projections Impulse Response Functions","0.2.0",NA,"R (>= 3.1.2)","doParallel(>= 1.0.15), dplyr(>= 1.0.0), foreach(>= 1.5.0),
ggplot2(>= 3.3.0), ggpubr(>= 0.3.0), gridExtra(>= 2.3),
lmtest(>= 0.9-36), plm(>= 2.2-3), sandwich(>= 2.5-1), Rcpp(>=
1.0.4.6)","Rcpp, RcppArmadillo","testthat, readxl, knitr, rmarkdown, zoo, vars",NA,"GPL (>= 2)",NA,NA,NA,NA,"92e84a45b4fba6d54768a352cde41618","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","margins","2021-01-22","Marginal Effects for Model Objects","0.3.26",NA,NA,"utils, stats, prediction (>= 0.3.6), data.table, graphics,
grDevices, MASS",NA,"methods, knitr, rmarkdown, testthat, ggplot2, gapminder,
sandwich, stargazer, lme4","AER, betareg, nnet, ordinal, survey","MIT + file LICENSE",NA,NA,NA,NA,"089978cd9b7fd9b0ba75525c9efe4641","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","MASS","2022-01-13","Support Functions and Datasets for Venables and Ripley's MASS","7.3-55","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"05f4cfb9d77e369a280dc939126a07a8","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","matchingMarkets","2020-01-12","Analysis of Stable Matchings","1.0-2",NA,"R (>= 3.0.2)","Rcpp (>= 0.12.12), RcppProgress (>= 0.2), rJava, lpSolve,
lattice, partitions, parallel, stats, utils","Rcpp, RcppProgress, RcppArmadillo","knitr, ggplot2, grDevices, graphics",NA,"GPL (>= 2)",NA,NA,NA,NA,"927fb488c59576d3adf04121b6eff850","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","Matrix","2021-12-08","Sparse and Dense Matrix Classes and Methods","1.4-0","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"6bb117dc24168f5df601b8ee9e90b932","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","Mcomp","2018-06-19","Data from the M-Competitions","2.8",NA,"R (>= 2.10), forecast (>= 8.0)","ggplot2",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"9003bd75eb8a07199dc9e95890ed8b6a","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","meboot","2021-10-06","Maximum Entropy Bootstrap for Time Series","1.4-9.2",NA,"R (>= 3.5.0), dynlm, nlme, tdigest, hdrcde",NA,NA,"boot, car, ConvergenceConcepts, geepack, lmtest, strucchange,
plm, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"94e3e2e4ad11faa3d8dde391af3ef091","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","mfx","2019-02-06","Marginal Effects, Odds Ratios and Incidence Rate Ratios for GLMs","1.2-2",NA,"stats, sandwich, lmtest, MASS, betareg",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"ff94915b82f5a85f71e3485a38371e0a","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","mgcv","2022-02-24","Mixed GAM Computation Vehicle with Automatic Smoothness
Estimation","1.8-39","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"895a7f88cc9e20d7e858b03df358af30","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","mhurdle","2021-12-10","Multiple Hurdle Tobit Models","1.3-0",NA,"R (>= 2.10)","Formula, truncreg, maxLik, survival, Rdpack, prediction,
margins, generics, numDeriv",NA,"knitr, rmarkdown, lmtest, xtable, bookdown, texreg, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"a02c785725876379db940821069cefc6","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","micEcon","2021-01-06","Microeconomic Analysis and Modelling","0.6-16",NA,"R (>= 3.5.0)","miscTools (>= 0.6-1), plm (>= 1.1-0)",NA,"Ecdat (>= 0.1-5), systemfit (>= 1.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"de66d83e8e603c289641b07e2dbf912e","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","micEconAids","2017-03-16","Demand Analysis with the Almost Ideal Demand System (AIDS)","0.6-18",NA,"R (>= 2.14.0), lmtest, micEcon (>= 0.6-0)","stats, systemfit (>= 1.1-12), miscTools (>= 0.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"fcb9779a5013d9b0291cdb1a61d382db","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","micEconCES","2021-01-06","Analysis with the Constant Elasticity of Substitution (CES)
Function","1.0-0",NA,"R (>= 2.4.0), minpack.lm (>= 1.1-4), DEoptim (>= 2.0-4), car
(>= 2.0-0)","systemfit (>= 1.0-0), micEcon (>= 0.6-1), miscTools (>= 0.6-1)",NA,"maxLik (>= 0.8-0), xtable (>= 1.5-6), AER (>= 1.1-9)",NA,"GPL (>= 2)",NA,NA,NA,NA,"64b4a66deb0d21778bbb7cbc5a33ac87","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","micEconSNQP","2020-02-11","Symmetric Normalized Quadratic Profit Function","0.6-8",NA,"R (>= 2.4.0)","miscTools (>= 0.6-1), systemfit (>= 1.0-0), MASS",NA,"micEcon (>= 0.6-1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"e6870646f38e7828cfcf2150a9dddcc5","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","midasr","2021-02-23","Mixed Data Sampling Regression","0.8",NA,"R (>= 2.11.0), sandwich, optimx, quantreg","MASS, numDeriv, Matrix, forecast, zoo, stats, graphics, utils,
Formula, texreg, methods",NA,"testthat, lubridate, xts",NA,"GPL-2 | MIT + file LICENCE",NA,NA,NA,NA,"30b2d933da41eff5464785eedbd5ec97","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","mlogit","2020-10-02","Multinomial Logit Models","1.1-1",NA,"R (>= 2.10), dfidx","Formula, zoo, lmtest, statmod, MASS, Rdpack",NA,"knitr, car, nnet, lattice, AER, ggplot2, texreg, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"08c4273d0762bd0044cf6677c927df9b","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","MNP","2021-05-13","Fitting the Multinomial Probit Model","3.1-2",NA,"R (>= 2.1), MASS, utils",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"4e85bb218b6ac6294897ef281828c133","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","multiwayvcov","2016-05-05","Multi-Way Standard Error Clustering","1.2.3",NA,"R (>= 3.0.0)","sandwich, boot, compiler, parallel, stats, utils",NA,"lmtest",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"dcd9c19ebe95138fc59c7c6d64da9db5","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","nlme","2022-01-13","Linear and Nonlinear Mixed Effects Models","3.1-155","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"6a47c7a7366fd41502be97c22a14136d","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","nnet","2022-01-13","Feed-Forward Neural Networks and Multinomial Log-Linear Models","7.3-17","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"bcb3ac1d3d505b1a26620e48f20f987a","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","NNS","2022-03-08","Nonlinear Nonparametric Statistics","0.8.5",NA,"R (>= 3.3.0), doParallel","caret, data.table, dtw, dynlm, meboot, Quandl, Rfast, rgl,
stringr, tdigest, tseries, zoo",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"f1d53b72db222b6f59b0f2557e83a9b5","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","nonnest2","2020-07-05","Tests of Non-Nested Models","0.5-5",NA,"R (>= 3.0.0)","CompQuadForm, mvtnorm, lavaan (>= 0.6-6), sandwich",NA,"mirt (>= 1.26.3), AER, MASS, faraway, mlogit, ordinal, pscl,
knitr, rmarkdown, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"c0bc1ef26e378ffff474134a38200689","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","np","2021-06-14","Nonparametric Kernel Smoothing Methods for Mixed Data Types","0.60-11",NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,"MASS",NA,"GPL",NA,NA,NA,NA,"c7bf61c7b6944ca6b7e000ac0c1323a1","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","nse","2021-04-25","Numerical Standard Errors Computation in R","1.20",NA,NA,"Rcpp (>= 0.12.0), coda, mcmc, mcmcse, np, sandwich","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"933afef239c71d58e02c66faef442fad","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","ordinal","2019-12-15","Regression Models for Ordinal Data","2019.12-10",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"635d65ae5cc532b4fa4c3bbcf812b031","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","OrthoPanels","2021-05-04","Dynamic Panel Models with Orthogonal Reparameterization of Fixed
Effects","1.1-4",NA,"R (>= 3.1.0)","MASS",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"25abd283962fa7b70cd59b2e5399b70b","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pampe","2015-11-07","Implementation of the Panel Data Approach Method for Program
Evaluation","1.1.2",NA,"leaps",NA,NA,NA,"xtable","GPL-2",NA,NA,NA,NA,"c4af42d7f6ee1b229dba3c866d445ca8","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","Paneldata","2014-03-20","Linear models for panel data","1.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"2d0b8cf092980a5d0c62a4367179e7e5","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","panelvar","2021-01-27","Panel Vector Autoregression","0.5.3",NA,"R (>= 3.4)","knitr, MASS, Matrix (>= 1.2-11), progress, matrixcalc, texreg,
ggplot2, reshape2, methods",NA,"rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"f774e923cae0be568bc1dda06d68e432","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pco","2015-07-29","Panel Cointegration Tests","1.0.1",NA,"stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"e435dff7919b4f4cf55303755fe06cda","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pcse","2018-06-07","Panel-Corrected Standard Error Estimation in R","1.9.1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"33ba410d5b3bb3302a995305a05e658a","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pder","2022-01-26","Panel Data Econometrics with R","1.0-2",NA,"R (>= 3.5.0), plm",NA,NA,"car, dplyr, ggplot2, lmtest, msm, pglm, splm, survival,
texreg",NA,"GPL (>= 2)",NA,NA,NA,NA,"c958ef9dfb057bfce1ce3338b40ae3a2","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pdR","2019-07-07","Threshold Model and Unit Root Tests in Cross-Section and Time
Series Data","1.7",NA,"plm, tcltk","boot, car, coefplot, lmtest, sandwich, papeR",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"58ada5bc8cd9b587d1ec2fe7a2e7d747","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pdynmc","2021-10-14","Moment Condition Based Estimation of Linear Dynamic Panel Data
Models","0.9.6",NA,"R (>= 3.6.0)","data.table (>= 1.12.2), MASS (>= 7.3-51.4), Matrix (>=
1.2-17), optimx (>= 2018-07.10), qlcMatrix (>= 0.9.7), stats
(>= 3.6.0), Rdpack (>= 0.11-0)",NA,"pder (>= 1.0-1), plm (>= 2.2-0), testthat (>= 2.3.2), R.rsp
(>= 0.43.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"cc8b10e643ad0183fce8563543163151","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pglm","2021-07-19","Panel Generalized Linear Models","0.2-3",NA,"R (>= 2.10), maxLik, plm","statmod, Formula",NA,"lmtest, car",NA,"GPL (>= 2)",NA,NA,NA,NA,"d3bda0afc3083de2319b266b82e70388","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","plm","2022-03-05","Linear Models for Panel Data","2.6-1",NA,"R (>= 3.2.0)","MASS, bdsmatrix, collapse (>= 1.6.0), zoo, nlme, sandwich,
lattice, lmtest, maxLik, Rdpack, Formula, stats",NA,"AER, car, statmod, urca, pder, texreg, knitr, rmarkdown,
fixest, lfe",NA,"GPL (>= 2)",NA,NA,NA,NA,"ea454fcbc1ba343de2dad9720f590bb4","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pscl","2020-03-07","Political Science Computational Laboratory","1.5.5",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"2728a19e4e9be466200e2803224716b1","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","psidR","2021-05-07","Build Panel Data Sets from PSID Raw Data","2.1",NA,"R (>= 3.5.0)","data.table, RCurl, foreign, SAScii, openxlsx, futile.logger",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"8b7c338825051b1c29610289266de569","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pwt","2013-07-28","Penn World Table (Versions 5.6, 6.x, 7.x)","7.1-1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"06c3845e8c0c2cb0fd2b9ff17f34273b","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pwt8","2017-01-04","Penn World Table (Version 8.x)","8.1-1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"2699af9c3078e12100892f38011df53a","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","pwt9","2019-06-12","Penn World Table (Version 9.x)","9.1-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"d65ef8b90ccb42c2439515386fe2fb8f","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","quantreg","2022-02-05","Quantile Regression","5.88",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"f0dfd909e162b4ed048e90271bb0cc00","yes",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","Rchoice","2021-07-22","Discrete Choice (Binary, Poisson and Ordered) Models with Random
Parameters","0.3-3",NA,"R (>= 4.0), Formula, maxLik","sandwich, miscTools, numDeriv, memisc, msm, plm, plotrix,
stats, graphics",NA,"car, lmtest, pglm,",NA,"GPL (>= 2)",NA,NA,NA,NA,"e486251ad16894da64292cd4dc60dff4","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","rdd","2016-03-14","Regression Discontinuity Estimation","0.57",NA,"R (>= 2.15.0), sandwich, lmtest, AER, Formula",NA,NA,NA,NA,"Apache License (== 2.0)",NA,NA,NA,NA,"2572a1e5e773dbd0efe3a8b86ab2c261","no",NA,"https://cran.rstudio.com/src/contrib"
"Econometrics","Econometrics","rdlocrand","2021-07-08","Local Randomization Methods for RD Designs","0.9",NA,"R (>= 3.1)","AER, sandwich",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"6242008eef44b4bcaa0331a6bbc64738","no",NA,"https://cran.rstudio.com/src/contrib"
